Product,Cycle time,Priority,,,,Remark: ,"Priority = 0, if the product has no production; Priority if equal for all the products, longest cycle time product runs first; Priority if different for all the products, (cylce time * priority) max runs first"
A320.1,18.08,1,,,,,
A320.2,18.08,1,,,,,
A320.3,17.6,1,,,,,
A320.4,17.6,1,,,,,
A320.5,8.38,1,,,,,
A320.6,8.38,1,,,,,
A320.7,7.81,1,,,,,
A320.8,7.81,1,,,,,
A320.9,17.28,1,,,,,
A320.10,17.28,1,,,,,
A320.11,19.05,1,,,,,
A320.12,19.05,1,,,,,
A320.13,7.01,1,,,,,
A320.14,7.01,1,,,,,
A320.15,9.19,1,,,,,
A320.16,9.19,1,,,,,
A320.17,9.36,1,,,,,
A320.18,9.36,1,,,,,
A320.19,12.23,1,,,,,
A320.20,12.23,1,,,,,
A400M.1,12.43,1,,,,,
A400M.2,12.43,1,,,,,
A400M.3,12.43,1,,,,,
A400M.4,12.43,1,,,,,
A400M.5,12.43,1,,,,,
A400M.6,12.43,1,,,,,
A400M.7,12.43,1,,,,,
A400M.8,12.43,1,,,,,
A400M.9,12.43,1,,,,,
A400M.10,12.43,1,,,,,
A400M.11,12.43,1,,,,,
A400M.12,12.43,1,,,,,
A400M.13,8.72,1,,,,,
A400M.14,8.72,1,,,,,
A400M.15,8.72,1,,,,,
A400M.16,8.72,1,,,,,
