Product,Cycle time,Priority,,,,Remark: ,"Priority = 0, if the product has no production; Priority if equal for all the products, longest cycle time product runs first; Priority if different for all the products, (cylce time * priority) max runs first"
A320.1,18.08,1,,,,,
A320.1,18.08,0.1,,,,,
A320.1,18.08,0.01,,,,,
A320.1,18.08,0.001,,,,,
A320.1,18.08,0.0001,,,,,
A320.1,18.08,0.00001,,,,,
A320.1,18.08,0.000001,,,,,
A320.1,18.08,0.0000001,,,,,
A320.1,18.08,0.00000001,,,,,
A320.1,18.08,0.000000001,,,,,
A320.2,18.08,1,,,,,
A320.2,18.08,0.1,,,,,
A320.2,18.08,0.01,,,,,
A320.2,18.08,0.001,,,,,
A320.2,18.08,0.0001,,,,,
A320.2,18.08,0.00001,,,,,
A320.2,18.08,0.000001,,,,,
A320.2,18.08,0.0000001,,,,,
A320.2,18.08,0.00000001,,,,,
A320.2,18.08,0.000000001,,,,,
A320.3,17.6,1,,,,,
A320.3,17.6,0.1,,,,,
A320.3,17.6,0.01,,,,,
A320.3,17.6,0.001,,,,,
A320.3,17.6,0.0001,,,,,
A320.3,17.6,0.00001,,,,,
A320.3,17.6,0.000001,,,,,
A320.3,17.6,0.0000001,,,,,
A320.4,17.6,1,,,,,
A320.4,17.6,0.1,,,,,
A320.4,17.6,0.01,,,,,
A320.4,17.6,0.001,,,,,
A320.4,17.6,0.0001,,,,,
A320.4,17.6,0.00001,,,,,
A320.4,17.6,0.000001,,,,,
A320.4,17.6,0.0000001,,,,,
A320.4,17.6,0.00000001,,,,,
A320.4,17.6,0.000000001,,,,,
A320.5,8.38,1,,,,,
A320.5,8.38,0.1,,,,,
A320.5,8.38,0.01,,,,,
A320.5,8.38,0.001,,,,,
A320.5,8.38,0.0001,,,,,
A320.5,8.38,0.00001,,,,,
A320.5,8.38,0.000001,,,,,
A320.5,8.38,0.0000001,,,,,
A320.5,8.38,0.00000001,,,,,
A320.5,8.38,0.000000001,,,,,
A320.5,8.38,1.00E-10,,,,,
A320.5,8.38,1.00E-11,,,,,
A320.6,8.38,1,,,,,
A320.6,8.38,0.1,,,,,
A320.6,8.38,0.01,,,,,
A320.6,8.38,0.001,,,,,
A320.6,8.38,0.0001,,,,,
A320.6,8.38,0.00001,,,,,
A320.6,8.38,0.000001,,,,,
A320.6,8.38,0.0000001,,,,,
A320.6,8.38,0.00000001,,,,,
A320.6,8.38,0.000000001,,,,,
A320.6,8.38,1.00E-10,,,,,
A320.6,8.38,1.00E-11,,,,,
A320.7,7.81,1,,,,,
A320.7,7.81,0.1,,,,,
A320.7,7.81,0.01,,,,,
A320.7,7.81,0.001,,,,,
A320.7,7.81,0.0001,,,,,
A320.7,7.81,0.00001,,,,,
A320.7,7.81,0.000001,,,,,
A320.7,7.81,0.0000001,,,,,
A320.7,7.81,0.00000001,,,,,
A320.7,7.81,0.000000001,,,,,
A320.7,7.81,1.00E-10,,,,,
A320.7,7.81,1.00E-11,,,,,
A320.8,7.81,1,,,,,
A320.8,7.81,0.1,,,,,
A320.8,7.81,0.01,,,,,
A320.8,7.81,0.001,,,,,
A320.8,7.81,0.0001,,,,,
A320.8,7.81,0.00001,,,,,
A320.8,7.81,0.000001,,,,,
A320.8,7.81,0.0000001,,,,,
A320.8,7.81,0.00000001,,,,,
A320.8,7.81,0.000000001,,,,,
A320.8,7.81,1.00E-10,,,,,
A320.8,7.81,1.00E-11,,,,,
A320.9,17.28,1,,,,,
A320.9,17.28,0.1,,,,,
A320.9,17.28,0.01,,,,,
A320.9,17.28,0.001,,,,,
A320.9,17.28,0.0001,,,,,
A320.9,17.28,0.00001,,,,,
A320.9,17.28,0.000001,,,,,
A320.9,17.28,0.0000001,,,,,
A320.10,17.28,1,,,,,
A320.10,17.28,0.1,,,,,
A320.10,17.28,0.01,,,,,
A320.10,17.28,0.001,,,,,
A320.10,17.28,0.0001,,,,,
A320.10,17.28,0.00001,,,,,
A320.10,17.28,0.000001,,,,,
A320.10,17.28,0.0000001,,,,,
A320.11,19.05,1,,,,,
A320.11,19.05,0.1,,,,,
A320.11,19.05,0.01,,,,,
A320.11,19.05,0.001,,,,,
A320.11,19.05,0.0001,,,,,
A320.11,19.05,0.00001,,,,,
A320.11,19.05,0.000001,,,,,
A320.11,19.05,0.0000001,,,,,
A320.12,19.05,1,,,,,
A320.12,19.05,0.1,,,,,
A320.12,19.05,0.01,,,,,
A320.12,19.05,0.001,,,,,
A320.12,19.05,0.0001,,,,,
A320.12,19.05,0.00001,,,,,
A320.12,19.05,0.000001,,,,,
A320.12,19.05,0.0000001,,,,,
A320.13,7.01,1,,,,,
A320.13,7.01,0.1,,,,,
A320.13,7.01,0.01,,,,,
A320.13,7.01,0.001,,,,,
A320.13,7.01,0.0001,,,,,
A320.13,7.01,0.00001,,,,,
A320.13,7.01,0.000001,,,,,
A320.13,7.01,0.0000001,,,,,
A320.13,7.01,0.00000001,,,,,
A320.13,7.01,0.000000001,,,,,
A320.14,7.01,1,,,,,
A320.14,7.01,0.1,,,,,
A320.14,7.01,0.01,,,,,
A320.14,7.01,0.001,,,,,
A320.14,7.01,0.0001,,,,,
A320.14,7.01,0.00001,,,,,
A320.14,7.01,0.000001,,,,,
A320.14,7.01,0.0000001,,,,,
A320.14,7.01,0.00000001,,,,,
A320.14,7.01,0.000000001,,,,,
A320.15,9.19,1,,,,,
A320.15,9.19,0.1,,,,,
A320.15,9.19,0.01,,,,,
A320.15,9.19,0.001,,,,,
A320.15,9.19,0.0001,,,,,
A320.15,9.19,0.00001,,,,,
A320.15,9.19,0.000001,,,,,
A320.15,9.19,0.0000001,,,,,
A320.15,9.19,0.00000001,,,,,
A320.15,9.19,0.000000001,,,,,
A320.16,9.19,1,,,,,
A320.16,9.19,0.1,,,,,
A320.16,9.19,0.01,,,,,
A320.16,9.19,0.001,,,,,
A320.16,9.19,0.0001,,,,,
A320.16,9.19,0.00001,,,,,
A320.16,9.19,0.000001,,,,,
A320.16,9.19,0.0000001,,,,,
A320.16,9.19,0.00000001,,,,,
A320.16,9.19,0.000000001,,,,,
A320.17,9.36,1,,,,,
A320.17,9.36,0.1,,,,,
A320.17,9.36,0.01,,,,,
A320.17,9.36,0.001,,,,,
A320.18,9.36,1,,,,,
A320.18,9.36,0.1,,,,,
A320.18,9.36,0.01,,,,,
A320.18,9.36,0.001,,,,,
A320.19,12.23,1,,,,,
A320.19,12.23,0.1,,,,,
A320.19,12.23,0.01,,,,,
A320.19,12.23,0.001,,,,,
A320.20,12.23,1,,,,,
A320.20,12.23,0.1,,,,,
A320.20,12.23,0.01,,,,,
A320.20,12.23,0.001,,,,,
