Product,Cycle time,Priority,,,,Remark: ,"Priority = 0, if the product has no production; Priority if equal for all the products, longest cycle time product runs first; Priority if different for all the products, (cylce time * priority) max runs first"
PartA13,7.01,1,,,,,
PartA14,7.01,1,,,,,
PartA7,7.81,1,,,,,
PartA8,7.81,1,,,,,
PartA5,8.38,1,,,,,
PartA6,8.38,1,,,,,
PartB13,8.72,1,,,,,
PartB14,8.72,1,,,,,
PartB15,8.72,1,,,,,
PartB16,8.72,1,,,,,
PartA15,9.19,1,,,,,
PartA16,9.19,1,,,,,
PartA17,9.36,1,,,,,
PartA18,9.36,1,,,,,
PartA19,12.23,1,,,,,
PartA20,12.23,1,,,,,
PartB1,12.43,1,,,,,
PartB2,12.43,1,,,,,
PartB3,12.43,1,,,,,
PartB4,12.43,1,,,,,
PartB5,12.43,1,,,,,
PartB6,12.43,1,,,,,
PartB7,12.43,1,,,,,
PartB8,12.43,1,,,,,
PartB9,12.43,1,,,,,
PartB10,12.43,1,,,,,
PartB11,12.43,1,,,,,
PartB12,12.43,1,,,,,
PartA9,17.28,1,,,,,
PartA10,17.28,1,,,,,
PartA3,17.6,1,,,,,
PartA4,17.6,1,,,,,
PartA1,18.08,1,,,,,
PartA2,18.08,1,,,,,
PartA11,19.05,1,,,,,
PartA12,19.05,1,,,,,
